"display","trial_type","stim","word","VOT","label","condition","list_LSQ_variant","blockID","block","mean","sd","left","right","option_setup","progress_bar"
"phonetic categorization","exposure","din_60.wav","tin","60","unlabeled","expo-10ms","A","C","6","50","16.431676725155","tin","din","d-right","234"
"phonetic categorization","exposure","din_80.wav","tin","80","unlabeled","expo-10ms","A","C","6","50","16.431676725155","tin","din","d-right","234"
"phonetic categorization","exposure","dip_40.wav","tip","40","labeled","expo-10ms","A","C","6","50","16.431676725155","tip","tin","d-right","234"
"phonetic categorization","exposure","dip_50.wav","tip","50","labeled","expo-10ms","A","C","6","50","16.431676725155","tip","tin","d-right","234"
"phonetic categorization","exposure","dip_65.wav","tip","65","labeled","expo-10ms","A","C","6","50","16.431676725155","tip","tin","d-right","234"
"phonetic categorization","exposure","dip_80.wav","tip","80","labeled","expo-10ms","A","C","6","50","16.431676725155","tip","tin","d-right","234"
"phonetic categorization","exposure","dip_50.wav","tip","50","unlabeled","expo-10ms","A","C","6","50","16.431676725155","tip","dip","d-right","234"
"phonetic categorization","exposure","dip_55.wav","tip","55","unlabeled","expo-10ms","A","C","6","50","16.431676725155","tip","dip","d-right","234"
"phonetic categorization","exposure","dip_60.wav","tip","60","unlabeled","expo-10ms","A","C","6","50","16.431676725155","tip","dip","d-right","234"
"phonetic categorization","exposure","dip_75.wav","tip","75","unlabeled","expo-10ms","A","C","6","50","16.431676725155","tip","dip","d-right","234"
"break1","","","","","","","","","","","","","","",""
"phonetic categorization","catch","flare.wav","flare",,,"expo-10ms","A","C","6",,,"flare","share","d-right","234"
"phonetic categorization","catch","flare.wav","flare",,,"expo-10ms","A","C","6",,,"flare","share","d-right","234"
"phonetic categorization","catch","rare.wav","rare",,,"expo-10ms","A","C","6",,,"rare","flare","d-right","234"
"phonetic categorization","catch","rare.wav","rare",,,"expo-10ms","A","C","6",,,"rare","flare","d-right","234"
"phonetic categorization","catch","share.wav","share",,,"expo-10ms","A","C","6",,,"rare","share","d-right","234"
"phonetic categorization","catch","share.wav","share",,,"expo-10ms","A","C","6",,,"rare","share","d-right","234"
"phonetic categorization","test","din_15.wav","din","15",,,,"T2","3",,,"tin","din","d-right","234"
"phonetic categorization","test","dill_45.wav","dill","45",,,,"T2","3",,,"till","dill","d-right","234"
"phonetic categorization","test","dip_25.wav","dip","25",,,,"T2","3",,,"tip","dip","d-right","234"
"phonetic categorization","test","dill_55.wav","dill","55",,,,"T2","3",,,"till","dill","d-right","234"
"phonetic categorization","test","dip_5.wav","dip","5",,,,"T2","3",,,"tip","dip","d-right","234"
"phonetic categorization","test","dip_50.wav","dip","50",,,,"T2","3",,,"tip","dip","d-right","234"
"phonetic categorization","test","din_30.wav","din","30",,,,"T2","3",,,"tin","din","d-right","234"
"phonetic categorization","test","dill_-5.wav","dill","-5",,,,"T2","3",,,"till","dill","d-right","234"
"phonetic categorization","test","dill_70.wav","dill","70",,,,"T2","3",,,"till","dill","d-right","234"
"phonetic categorization","test","dip_35.wav","dip","35",,,,"T2","3",,,"tip","dip","d-right","234"
"phonetic categorization","test","din_65.wav","din","65",,,,"T2","3",,,"tin","din","d-right","234"
"phonetic categorization","test","din_40.wav","din","40",,,,"T2","3",,,"tin","din","d-right","234"
"phonetic categorization","exposure","dill_15.wav","dill","15","labeled","expo-10ms","A","A","2","5","8.94427190999916","dill","din","d-right","234"
"phonetic categorization","exposure","dill_25.wav","dill","25","labeled","expo-10ms","A","A","2","5","8.94427190999916","dill","din","d-right","234"
"phonetic categorization","exposure","dill_5.wav","dill","5","labeled","expo-10ms","A","A","2","5","8.94427190999916","dill","din","d-right","234"
"phonetic categorization","exposure","dill_5.wav","dill","5","labeled","expo-10ms","A","A","2","5","8.94427190999916","dill","din","d-right","234"
"phonetic categorization","exposure","dill_15.wav","dill","15","unlabeled","expo-10ms","A","A","2","5","8.94427190999916","till","dill","d-right","234"
"phonetic categorization","exposure","dill_25.wav","dill","25","unlabeled","expo-10ms","A","A","2","5","8.94427190999916","till","dill","d-right","234"
"phonetic categorization","exposure","dill_5.wav","dill","5","unlabeled","expo-10ms","A","A","2","5","8.94427190999916","till","dill","d-right","234"
"phonetic categorization","exposure","dill_5.wav","dill","5","unlabeled","expo-10ms","A","A","2","5","8.94427190999916","till","dill","d-right","234"
"phonetic categorization","exposure","din_10.wav","din","10","labeled","expo-10ms","A","A","2","5","8.94427190999916","din","dill","d-right","234"
"phonetic categorization","exposure","din_10.wav","din","10","labeled","expo-10ms","A","A","2","5","8.94427190999916","din","dill","d-right","234"
"phonetic categorization","exposure","din_15.wav","din","15","labeled","expo-10ms","A","A","2","5","8.94427190999916","din","dill","d-right","234"
"phonetic categorization","exposure","din_15.wav","din","15","labeled","expo-10ms","A","A","2","5","8.94427190999916","din","dill","d-right","234"
"phonetic categorization","exposure","din_10.wav","din","10","unlabeled","expo-10ms","A","A","2","5","8.94427190999916","tin","din","d-right","234"
