display,word,stim,VOT,center,block,condition,label,session,stage,randomized_trial,left,right,word_display
,din,din_+15.wav,15,d,2,c2,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,din,din_+20.wav,20,d,2,c2,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,dip,dip_+20.wav,20,d,2,c2,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,dip,dip_+20.wav,20,d,2,c2,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,dill,dill_+20.wav,20,d,2,c2,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,dill,dill_+20.wav,20,d,2,c2,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,din,din_+25.wav,25,d,2,c2,1,exposure,exposure2,exposure2,d,t,din_leftd.jpeg
,din,din_+25.wav,25,d,2,c2,1,exposure,exposure2,exposure2,d,t,din_leftd.jpeg
,dip,dip_+25.wav,25,d,2,c2,1,exposure,exposure2,exposure2,d,t,dip_leftd.jpeg
,din,din_+25.wav,25,t,2,c2,1,exposure,exposure2,exposure2,d,t,din_leftd.jpeg
,dill,dill_+30.wav,30,d,2,c2,1,exposure,exposure2,exposure2,d,t,dill_leftd.jpeg
,dip,dip_+30.wav,30,d,2,c2,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,dill,dill_+55.wav,55,t,2,c2,1,exposure,exposure2,exposure2,d,t,dill_leftd.jpeg
,dip,dip_+55.wav,55,t,2,c2,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,dip,dip_+60.wav,60,t,2,c2,1,exposure,exposure2,exposure2,d,t,dip_leftd.jpeg
,dip,dip_+70.wav,70,t,2,c2,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,din,din_+70.wav,70,t,2,c2,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,dip,dip_+70.wav,70,t,2,c2,0,exposure,exposure2,exposure2,d,t,blank.jpeg
break3,,,,,,,,,,,d,t,blank.jpeg
,dill,dill_+70.wav,70,t,2,c2,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,dill,dill_+75.wav,75,t,2,c2,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,dip,dip_+75.wav,75,t,2,c2,1,exposure,exposure2,exposure2,d,t,dip_leftd.jpeg
,din,din_+80.wav,80,t,2,c2,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,din,din_+80.wav,80,t,2,c2,1,exposure,exposure2,exposure2,d,t,din_leftd.jpeg
,dill,dill_+80.wav,80,t,2,c2,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,dill,dill_+90.wav,90,t,2,c2,1,exposure,exposure2,exposure2,d,t,dill_leftd.jpeg
,dill,dill_+90.wav,90,t,2,c2,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,din,din_+100.wav,100,t,2,c2,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,dip,dip_+110.wav,110,t,2,c2,1,exposure,exposure2,exposure2,d,t,dip_leftd.jpeg
,dip,dip_+110.wav,110,t,2,c2,1,exposure,exposure2,exposure2,d,t,dip_leftd.jpeg
,dill,dill_+115.wav,115,t,2,c2,1,exposure,exposure2,exposure2,d,t,dill_leftd.jpeg
,left,,,left,2,c1,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,left,,,left,2,c1,1,exposure,exposure2,exposure2,d,t,left_leftd.jpeg
,left,,,left,2,c1,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,right,,,right,2,c1,1,exposure,exposure2,exposure2,d,t,right_leftd.jpeg
,right,,,right,2,c1,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,right,,,right,2,c1,1,exposure,exposure2,exposure2,d,t,right_leftd.jpeg
,dill,dill_-5.wav,-5,,1,,,test,test1,test1,d,t,blank.jpeg
,dill,dill_+5.wav,5,,1,,,test,test1,test1,d,t,blank.jpeg
,dill,dill_+15.wav,15,,1,,,test,test1,test1,d,t,blank.jpeg
,dill,dill_+25.wav,25,,1,,,test,test1,test1,d,t,blank.jpeg
,din,din_+30.wav,30,,1,,,test,test1,test1,d,t,blank.jpeg
,din,din_+35.wav,35,,1,,,test,test1,test1,d,t,blank.jpeg
,din,din_+40.wav,40,,1,,,test,test1,test1,d,t,blank.jpeg
,din,din_+45.wav,45,,1,,,test,test1,test1,d,t,blank.jpeg
,dip,dip_+50.wav,50,,1,,,test,test1,test1,d,t,blank.jpeg
,dip,dip_+55.wav,55,,1,,,test,test1,test1,d,t,blank.jpeg
,dip,dip_+65.wav,65,,1,,,test,test1,test1,d,t,blank.jpeg
,dip,dip_+70.wav,70,,1,,,test,test1,test1,d,t,blank.jpeg
,dip,dip_-5.wav,-5,,2,,,test,test2,test2,d,t,blank.jpeg
,dip,dip_+5.wav,5,,2,,,test,test2,test2,d,t,blank.jpeg
,dip,dip_+15.wav,15,,2,,,test,test2,test2,d,t,blank.jpeg
,dip,dip_+25.wav,25,,2,,,test,test2,test2,d,t,blank.jpeg
,dill,dill_+30.wav,30,,2,,,test,test2,test2,d,t,blank.jpeg
,dill,dill_+35.wav,35,,2,,,test,test2,test2,d,t,blank.jpeg
,dill,dill_+40.wav,40,,2,,,test,test2,test2,d,t,blank.jpeg
,dill,dill_+45.wav,45,,2,,,test,test2,test2,d,t,blank.jpeg
,din,din_+50.wav,50,,2,,,test,test2,test2,d,t,blank.jpeg
,din,din_+55.wav,55,,2,,,test,test2,test2,d,t,blank.jpeg
,din,din_+65.wav,65,,2,,,test,test2,test2,d,t,blank.jpeg
,din,din_+70.wav,70,,2,,,test,test2,test2,d,t,blank.jpeg
,din,din_-5.wav,-5,,3,,,test,test3,test3,d,t,blank.jpeg
,din,din_+5.wav,5,,3,,,test,test3,test3,d,t,blank.jpeg
,din,din_+15.wav,15,,3,,,test,test3,test3,d,t,blank.jpeg
,din,din_+25.wav,25,,3,,,test,test3,test3,d,t,blank.jpeg
,dip,dip_+30.wav,30,,3,,,test,test3,test3,d,t,blank.jpeg
,dip,dip_+35.wav,35,,3,,,test,test3,test3,d,t,blank.jpeg
,dip,dip_+40.wav,40,,3,,,test,test3,test3,d,t,blank.jpeg
,dip,dip_+45.wav,45,,3,,,test,test3,test3,d,t,blank.jpeg
,dill,dill_+50.wav,50,,3,,,test,test3,test3,d,t,blank.jpeg
,dill,dill_+55.wav,55,,3,,,test,test3,test3,d,t,blank.jpeg
,dill,dill_+65.wav,65,,3,,,test,test3,test3,d,t,blank.jpeg
,dill,dill_+70.wav,70,,3,,,test,test3,test3,d,t,blank.jpeg
break4,,,,,,,,,,,d,t,blank.jpeg
final reminder,,,,,,,,,,,d,t,blank.jpeg
