display,word,stim,VOT,center,block,condition,label,session,stage,randomized_trial,left,right,word_display
,din,din_+45.wav,45,d,2,c2,0,exposure,exposure2,exposure2,t,d,blank.jpeg
,dill,dill_+45.wav,45,d,2,c2,1,exposure,exposure2,exposure2,t,d,dill_leftt.jpeg
,din,din_+45.wav,45,d,2,c2,0,exposure,exposure2,exposure2,t,d,blank.jpeg
,dip,dip_+50.wav,50,d,2,c2,1,exposure,exposure2,exposure2,t,d,dip_leftt.jpeg
,dill,dill_+50.wav,50,d,2,c2,0,exposure,exposure2,exposure2,t,d,blank.jpeg
,dip,dip_+50.wav,50,d,2,c2,1,exposure,exposure2,exposure2,t,d,dip_leftt.jpeg
,dip,dip_+50.wav,50,d,2,c2,1,exposure,exposure2,exposure2,t,d,dip_leftt.jpeg
,din,din_+50.wav,50,t,2,c2,0,exposure,exposure2,exposure2,t,d,blank.jpeg
,din,din_+55.wav,55,d,2,c2,1,exposure,exposure2,exposure2,t,d,din_leftt.jpeg
,din,din_+55.wav,55,d,2,c2,1,exposure,exposure2,exposure2,t,d,din_leftt.jpeg
,dip,dip_+55.wav,55,d,2,c2,1,exposure,exposure2,exposure2,t,d,dip_leftt.jpeg
,dill,dill_+60.wav,60,d,2,c2,1,exposure,exposure2,exposure2,t,d,dill_leftt.jpeg
,dip,dip_+60.wav,60,d,2,c2,0,exposure,exposure2,exposure2,t,d,blank.jpeg
,dill,dill_+65.wav,65,d,2,c2,1,exposure,exposure2,exposure2,t,d,dill_leftt.jpeg
,dill,dill_+65.wav,65,t,2,c2,1,exposure,exposure2,exposure2,t,d,dill_leftt.jpeg
,dip,dip_+80.wav,80,t,2,c2,0,exposure,exposure2,exposure2,t,d,blank.jpeg
,din,din_+80.wav,80,t,2,c2,0,exposure,exposure2,exposure2,t,d,blank.jpeg
break3,,,,,,,,,,,t,d,blank.jpeg
,dip,dip_+80.wav,80,t,2,c2,0,exposure,exposure2,exposure2,t,d,blank.jpeg
,dill,dill_+80.wav,80,t,2,c2,0,exposure,exposure2,exposure2,t,d,blank.jpeg
,dip,dip_+90.wav,90,t,2,c2,1,exposure,exposure2,exposure2,t,d,dip_leftt.jpeg
,dill,dill_+95.wav,95,t,2,c2,1,exposure,exposure2,exposure2,t,d,dill_leftt.jpeg
,dip,dip_+95.wav,95,t,2,c2,0,exposure,exposure2,exposure2,t,d,blank.jpeg
,dill,dill_+105.wav,105,t,2,c2,0,exposure,exposure2,exposure2,t,d,blank.jpeg
,dip,dip_+105.wav,105,t,2,c2,1,exposure,exposure2,exposure2,t,d,dip_leftt.jpeg
,din,din_+110.wav,110,t,2,c2,0,exposure,exposure2,exposure2,t,d,blank.jpeg
,din,din_+110.wav,110,t,2,c2,1,exposure,exposure2,exposure2,t,d,din_leftt.jpeg
,dill,dill_+110.wav,110,t,2,c2,0,exposure,exposure2,exposure2,t,d,blank.jpeg
,dill,dill_+120.wav,120,t,2,c2,0,exposure,exposure2,exposure2,t,d,blank.jpeg
,din,din_+125.wav,125,t,2,c2,1,exposure,exposure2,exposure2,t,d,din_leftt.jpeg
,left,,,left,2,c1,0,exposure,exposure2,exposure2,t,d,blank.jpeg
,left,,,left,2,c1,1,exposure,exposure2,exposure2,t,d,left_leftt.jpeg
,left,,,left,2,c1,0,exposure,exposure2,exposure2,t,d,blank.jpeg
