Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,branch-b6g2,branch-ahcf,Manipulation: Spreadsheet,Manipulation: correctAnswerCount,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,stimuli,ShowProgressBar
21,1773242713281,11/03/2026 15:25:13,1773242713945,-4,11/03/2026 11:25:13,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,13,4,1,Screen 3,Zone3,timelimit_screen,999,,,,0,0,,,,1,,1,Trial,2,HugginsPitch_12_2.flac,1
22,1773242719352,11/03/2026 15:25:19,1773242720040,-4,11/03/2026 11:25:20,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,13,4,2,Screen 1,content,content_audio,6087.799999952316,,,,0,0,,,,,,1,Trial,2,HugginsPitch_12_2.flac,1
23,1773242720640,11/03/2026 15:25:20,1773242721147,-4,11/03/2026 11:25:21,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,13,4,3,Screen 2,buttonA,response_button_text,1099.6000001430511,,,1,1,0,,,,,,1,Trial,2,HugginsPitch_12_2.flac,1
24,1773242722309,11/03/2026 15:25:22,1773242722995,-4,11/03/2026 11:25:22,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,13,4,4,Screen 4,advancementZone,continue_button,1842.8999998569489,,,,0,0,,,,,,1,Trial,2,HugginsPitch_12_2.flac,1
25,1773242723286,11/03/2026 15:25:23,1773242723970,-4,11/03/2026 11:25:23,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,7,5,1,Screen 3,Zone3,timelimit_screen,999.3000000000029,,,,0,0,,,,1,,1,Trial,2,HugginsPitch_6_2.flac,1
26,1773242729378,11/03/2026 15:25:29,1773242730060,-4,11/03/2026 11:25:30,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,7,5,2,Screen 1,content,content_audio,6083.600000143051,,,,0,0,,,,,,1,Trial,2,HugginsPitch_6_2.flac,1
27,1773242730310,11/03/2026 15:25:30,1773242730991,-4,11/03/2026 11:25:30,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,7,5,3,Screen 2,buttonA,response_button_text,920.5,,,1,1,0,,,,,,1,Trial,2,HugginsPitch_6_2.flac,1
28,1773242732150,11/03/2026 15:25:32,1773242732833,-4,11/03/2026 11:25:32,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,7,5,4,Screen 4,advancementZone,continue_button,1837.2000000476837,,,,0,0,,,,,,1,Trial,2,HugginsPitch_6_2.flac,1
29,1773242733146,11/03/2026 15:25:33,1773242733828,-4,11/03/2026 11:25:33,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,2,6,1,Screen 3,Zone3,timelimit_screen,999.1000000000058,,,,0,0,,,,1,,1,Trial,1,HugginsPitch_1_1.flac,1
30,1773242739229,11/03/2026 15:25:39,1773242739915,-4,11/03/2026 11:25:39,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,2,6,2,Screen 1,content,content_audio,6079.5,,,,0,0,,,,,,1,Trial,1,HugginsPitch_1_1.flac,1
31,1773242740152,11/03/2026 15:25:40,1773242740842,-4,11/03/2026 11:25:40,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,2,6,3,Screen 2,buttonA,response_button_text,917.9000000953674,,,1,1,1,,,,,,1,Trial,1,HugginsPitch_1_1.flac,1
32,1773242741763,11/03/2026 15:25:41,1773242742446,-4,11/03/2026 11:25:42,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,2,6,4,Screen 4,advancementZone,continue_button,1599.8000001907349,,,,0,0,,,,,,1,Trial,1,HugginsPitch_1_1.flac,1
33,1773242741903,11/03/2026 15:25:41,1773242742455,-4,11/03/2026 11:25:42,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,,,END TASK,,,,,112998,,,,,,,,,,,,,,,
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
