Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Context,Tag,OptionOrder,Object Name,Object Number,Object ID
32,1784156485483,15/07/2026 23:01:25,1784156485483,-7,15/07/2026 16:01:25,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 2,9ozlp6,2,"Do you have regular exposure to other types of accented English except Spanish accent? ‘Regular’ means that on a typical day, you would have conversations with people who speak accented English. 
(e.g., Italian-accented English)
",action,value,xx,,,,Comment Box,8,object-26
33,1784156485484,15/07/2026 23:01:25,1784156485484,-7,15/07/2026 16:01:25,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 1,yj32nb,1,Age (e.g. 18),response,value,29,,,,Number Entry,2,object-4
34,1784156485484,15/07/2026 23:01:25,1784156485484,-7,15/07/2026 16:01:25,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 1,yj32nb,1,Gender,response,value,Female,,,Male|Female|Non-binary,Multiple Choice,3,object-5
35,1784156485484,15/07/2026 23:01:25,1784156485484,-7,15/07/2026 16:01:25,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 1,yj32nb,1,Gender,response,quantised,2,,,Male|Female|Non-binary,Multiple Choice,3,object-5
36,1784156485484,15/07/2026 23:01:25,1784156485484,-7,15/07/2026 16:01:25,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 1,yj32nb,1,Race/Ethnicity (choose all that apply),response,American Indian or Alaska Native,0,,,American Indian or Alaska Native|Asian|Black or African American|Hispanic or Latino|Native Hawaiian or Other Pacific Islander|White,Multiple Choice,4,object-6
37,1784156485484,15/07/2026 23:01:25,1784156485484,-7,15/07/2026 16:01:25,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 1,yj32nb,1,Race/Ethnicity (choose all that apply),response,Asian,1,,,American Indian or Alaska Native|Asian|Black or African American|Hispanic or Latino|Native Hawaiian or Other Pacific Islander|White,Multiple Choice,4,object-6
38,1784156485484,15/07/2026 23:01:25,1784156485484,-7,15/07/2026 16:01:25,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 1,yj32nb,1,Race/Ethnicity (choose all that apply),response,Black or African American,0,,,American Indian or Alaska Native|Asian|Black or African American|Hispanic or Latino|Native Hawaiian or Other Pacific Islander|White,Multiple Choice,4,object-6
39,1784156485484,15/07/2026 23:01:25,1784156485484,-7,15/07/2026 16:01:25,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 1,yj32nb,1,Race/Ethnicity (choose all that apply),response,Hispanic or Latino,0,,,American Indian or Alaska Native|Asian|Black or African American|Hispanic or Latino|Native Hawaiian or Other Pacific Islander|White,Multiple Choice,4,object-6
40,1784156485484,15/07/2026 23:01:25,1784156485484,-7,15/07/2026 16:01:25,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 1,yj32nb,1,Race/Ethnicity (choose all that apply),response,Native Hawaiian or Other Pacific Islander,0,,,American Indian or Alaska Native|Asian|Black or African American|Hispanic or Latino|Native Hawaiian or Other Pacific Islander|White,Multiple Choice,4,object-6
41,1784156485485,15/07/2026 23:01:25,1784156485485,-7,15/07/2026 16:01:25,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 1,yj32nb,1,Race/Ethnicity (choose all that apply),response,White,0,,,American Indian or Alaska Native|Asian|Black or African American|Hispanic or Latino|Native Hawaiian or Other Pacific Islander|White,Multiple Choice,4,object-6
