Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,stimuli,ShowProgressBar
23,1784155655177,15/07/2026 22:47:35,1784155655090,-7,15/07/2026 15:47:35,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,2,4,1,Screen 3,Zone3,timelimit_screen,1000.0999999999985,,,,,0,1,0,,,1,,1,Trial,1.png,HugginsPitch_1_1.flac,1
24,1784155661383,15/07/2026 22:47:41,1784155661295,-7,15/07/2026 15:47:41,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,2,4,2,Screen 1,content,content_audio,6200.299999952316,,,,,0,1,0,,,,,1,Trial,1.png,HugginsPitch_1_1.flac,1
25,1784155661998,15/07/2026 22:47:41,1784155661858,-7,15/07/2026 15:47:41,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,2,4,3,Screen 2,buttonA,response_button_image,557.5999999046326,,,1.png,1,1,0,0,,,,,1,Trial,1.png,HugginsPitch_1_1.flac,1
26,1784155662947,15/07/2026 22:47:42,1784155662851,-7,15/07/2026 15:47:42,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,7,5,1,Screen 3,Zone3,timelimit_screen,999.0999999999985,,,,,0,1,0,,,1,,1,Trial,2.png,HugginsPitch_6_2.flac,1
27,1784155669154,15/07/2026 22:47:49,1784155669059,-7,15/07/2026 15:47:49,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,7,5,2,Screen 1,content,content_audio,6205.599999904633,,,,,0,1,0,,,,,1,Trial,2.png,HugginsPitch_6_2.flac,1
28,1784155669562,15/07/2026 22:47:49,1784155669425,-7,15/07/2026 15:47:49,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,7,5,3,Screen 2,buttonB,response_button_image,358.7999999523163,,,2.png,1,1,0,0,,,,,1,Trial,2.png,HugginsPitch_6_2.flac,1
29,1784155670528,15/07/2026 22:47:50,1784155670419,-7,15/07/2026 15:47:50,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,4,6,1,Screen 3,Zone3,timelimit_screen,1000.1000000000058,,,,,0,1,0,,,1,,1,Trial,2.png,HugginsPitch_3_2.flac,1
30,1784155676808,15/07/2026 22:47:56,1784155676633,-7,15/07/2026 15:47:56,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,4,6,2,Screen 1,content,content_audio,6209.300000190735,,,,,0,1,0,,,,,1,Trial,2.png,HugginsPitch_3_2.flac,1
31,1784155677204,15/07/2026 22:47:57,1784155677113,-7,15/07/2026 15:47:57,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,4,6,3,Screen 2,buttonB,response_button_image,470.7999999523163,,,2.png,1,1,0,0,,,,,1,Trial,2.png,HugginsPitch_3_2.flac,1
32,1784155678788,15/07/2026 22:47:58,1784155678703,-7,15/07/2026 15:47:58,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,14,1,1,Screen 1,advancementZone,continue_button,1584.7000000476837,,,,,0,1,0,,,,,,End,,,
33,1784155678957,15/07/2026 22:47:58,1784155678706,-7,15/07/2026 15:47:58,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,,,END TASK,,,,,77398,,,,,0,1,0,,,,,,,,,
END OF FILE
