Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,branch-b6g2,branch-ahcf,Manipulation: Spreadsheet,Manipulation: correctAnswerCount,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,stimuli,ShowProgressBar
12,1773236015085,11/03/2026 13:33:35,1773236014775,-5,11/03/2026 08:33:34,255858,16,task-r1nu,,53641805,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,correctAnswerCount,Spreadsheet1,7,1,4,Screen 4,advancementZone,continue_button,1788.699999999255,,,,0,0,,,,,,1,Trial,2,HugginsPitch_6_2.flac,1
13,1773236016073,11/03/2026 13:33:36,1773236015767,-5,11/03/2026 08:33:35,255858,16,task-r1nu,,53641805,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,correctAnswerCount,Spreadsheet1,12,2,1,Screen 3,Zone3,timelimit_screen,1001.1999999999971,,,,0,0,,,,1,,1,Trial,3,HugginsPitch_11_3.flac,1
14,1773236022144,11/03/2026 13:33:42,1773236021858,-5,11/03/2026 08:33:41,255858,16,task-r1nu,,53641805,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,correctAnswerCount,Spreadsheet1,12,2,2,Screen 1,content,content_audio,6088.199999999255,,,,0,0,,,,,,1,Trial,3,HugginsPitch_11_3.flac,1
15,1773236022969,11/03/2026 13:33:42,1773236022675,-5,11/03/2026 08:33:42,255858,16,task-r1nu,,53641805,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,correctAnswerCount,Spreadsheet1,12,2,3,Screen 2,buttonC,response_button_text,813,,,3,1,1,,,,,,1,Trial,3,HugginsPitch_11_3.flac,1
16,1773236024480,11/03/2026 13:33:44,1773236024168,-5,11/03/2026 08:33:44,255858,16,task-r1nu,,53641805,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,correctAnswerCount,Spreadsheet1,12,2,4,Screen 4,advancementZone,continue_button,1490.1000000014901,,,,0,0,,,,,,1,Trial,3,HugginsPitch_11_3.flac,1
17,1773236025474,11/03/2026 13:33:45,1773236025158,-5,11/03/2026 08:33:45,255858,16,task-r1nu,,53641805,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,correctAnswerCount,Spreadsheet1,8,3,1,Screen 3,Zone3,timelimit_screen,1001,,,,0,0,,,,1,,1,Trial,1,HugginsPitch_7_1.flac,1
18,1773236031544,11/03/2026 13:33:51,1773236031238,-5,11/03/2026 08:33:51,255858,16,task-r1nu,,53641805,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,correctAnswerCount,Spreadsheet1,8,3,2,Screen 1,content,content_audio,6077.39999999851,,,,0,0,,,,,,1,Trial,1,HugginsPitch_7_1.flac,1
19,1773236032387,11/03/2026 13:33:52,1773236032096,-5,11/03/2026 08:33:52,255858,16,task-r1nu,,53641805,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,correctAnswerCount,Spreadsheet1,8,3,3,Screen 2,buttonA,response_button_text,853.4000000022352,,,1,1,1,,,,,,1,Trial,1,HugginsPitch_7_1.flac,1
20,1773236033769,11/03/2026 13:33:53,1773236033458,-5,11/03/2026 08:33:53,255858,16,task-r1nu,,53641805,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,correctAnswerCount,Spreadsheet1,8,3,4,Screen 4,advancementZone,continue_button,1359.3999999985099,,,,0,0,,,,,,1,Trial,1,HugginsPitch_7_1.flac,1
21,1773236034749,11/03/2026 13:33:54,1773236034450,-5,11/03/2026 08:33:54,255858,16,task-r1nu,,53641805,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,correctAnswerCount,Spreadsheet1,13,4,1,Screen 3,Zone3,timelimit_screen,1000.6000000000058,,,,0,0,,,,1,,1,Trial,2,HugginsPitch_12_2.flac,1
22,1773236040828,11/03/2026 13:34:00,1773236040538,-5,11/03/2026 08:34:00,255858,16,task-r1nu,,53641805,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1707x960,,,,Efficient Headphone Screen,1,spreadsheet1_dt_t left,pass,,,Spreadsheet1,correctAnswerCount,Spreadsheet1,13,4,2,Screen 1,content,content_audio,6085.29999999702,,,,0,0,,,,,,1,Trial,2,HugginsPitch_12_2.flac,1
